alliance_name,constituency_id,constituency_name,Candidate,Party,State,Total Independent Candidates,Total Votes (Cr),Sum of total_votes,Vote % of India,Sum of vote_share
INDIA,39,Beed,BAJRANG MANOHAR SONWANE,Nationalist Congress Party – Sharadchandra Pawar,Maharashtra,,0.07 Cr,683950,1,44.93
INDIA,16,Mahabubabad,BALRAM NAIK PORIKA,Indian National Congress,Telangana,,0.06 Cr,612774,1,55.27
INDIA,7,Amravati,BALWANT BASWANT WANKHADE,Indian National Congress,Maharashtra,,0.05 Cr,526271,1,44.84
INDIA,23,Bhiwandi,BALYA MAMA - SURESH GOPINATH MHATRE,Nationalist Congress Party – Sharadchandra Pawar,Maharashtra,,0.05 Cr,499464,1,39.85
INDIA,24,Kolkata Uttar,BANDYOPADHYAY SUDIP,All India Trinamool Congress,West Bengal,,0.05 Cr,454696,1,47.44
INDIA,20,Mathurapur,BAPI HALDAR,All India Trinamool Congress,West Bengal,,0.08 Cr,755731,1,50.52
INDIA,11,Chalakudy,BENNY BEHANAN,Indian National Congress,Kerala,,0.04 Cr,394171,1,41.44
INDIA,57,Kaiserganj,BHAGAT RAM,Samajwadi Party,Uttar Pradesh,,0.04 Cr,422420,1,39.77
INDIA,26,Pilibhit,BHAGWAT SARAN GANGWAR,Samajwadi Party,Uttar Pradesh,,0.04 Cr,442223,1,38.09
INDIA,10,KARAULI-DHOLPUR,BHAJAN LAL JATAV,Indian National Congress,Rajasthan,,0.05 Cr,530011,1,53.64
INDIA,8,Ahmedabad West,BHARAT YOGENDRA MAKWANA,Indian National Congress,Gujarat,,0.03 Cr,325267,1,33.65
INDIA,12,Vijayawada,BHARGAV VALLURU,Indian National Congress,Andhra Pradesh,,0.00 Cr,24106,1,1.77
INDIA,22,Palghar,BHARTI BHARAT KAMDI,Shiv Sena (Uddhav Balasaheb Thackrey),Maharashtra,,0.04 Cr,417938,1,30.37
INDIA,20,Dindori,BHASKAR MURLIDHAR BHAGARE,Nationalist Congress Party – Sharadchandra Pawar,Maharashtra,,0.06 Cr,577339,1,46.53
INDIA,38,Shirdi,BHAUSAHEB RAJARAM WAKCHAURE,Shiv Sena (Uddhav Balasaheb Thackrey),Maharashtra,,0.05 Cr,476900,1,45
INDIA,21,CHITTORGARH,BHIL ADIVASI MANGILAL NANAMA,Bharat Adivasi Party,Rajasthan,,0.00 Cr,42811,1,2.86
