state_id,region_id,constituency_id,state_name,region_name,constituency_no,constituency_name,election_phase,polling_date,winner_candidate,winner_party,alliance_name,runner_up_candidate,runner_up_party,evm_votes,postal_votes,winner_votes,constituency_total_votes,vote_share,margin_votes,result_status,winner_age,winner_gender
7,2,94,Chhattisgarh,Central Region,11,KANKER,2,2024-04-26,BHOJRAJ NAG,Bharatiya Janata Party,NDA,BIRESH THAKUR,Indian National Congress,595185,2439,597624,1265429.0,47.23,1884,Result Declared,49.0,male
8,4,95,Dadra & Nagar Haveli and Daman & Diu,Western Region,1,Daman & Diu,3,2024-05-07,PATEL UMESHBHAI BABUBHAI,Independent,Others,LALUBHAI BABUBHAI PATEL,Bharatiya Janata Party,42469,54,42523,92410.0,46.02,6225,Result Declared,47.0,male
8,4,96,Dadra & Nagar Haveli and Daman & Diu,Western Region,2,Dadar & Nagar Haveli,3,2024-05-07,DELKAR KALABEN MOHANBHAI,Bharatiya Janata Party,NDA,AJIT RAMJIBHAI MAHALA,Indian National Congress,120833,241,121074,205588.0,58.89,57584,Result Declared,53.0,female
9,4,97,Goa,Western Region,1,North Goa,3,2024-05-07,SHRIPAD YESSO NAIK,Bharatiya Janata Party,NDA,RAMAKANT KHALAP,Indian National Congress,253812,3514,257326,456018.0,56.43,116015,Result Declared,71.0,male
9,4,98,Goa,Western Region,2,South Goa,3,2024-05-07,CAPTAIN  VIRIATO FERNANDES,Indian National Congress,INDIA,PALLAVI SHRINIVAS DEMPO,Bharatiya Janata Party,216022,1814,217836,450520.0,48.35,13535,Result Declared,54.0,male
10,4,99,Gujarat,Western Region,1,Kachchh,3,2024-05-07,CHAVDA VINOD LAKHAMSHI,Bharatiya Janata Party,NDA,NITESH PARBATBHAI LALAN (MATANG),Indian National Congress,656979,2595,659574,1095157.0,60.23,268782,Result Declared,45.0,male
10,4,100,Gujarat,Western Region,2,Banaskantha,3,2024-05-07,GENIBEN NAGAJI THAKOR,Indian National Congress,INDIA,DR. REKHABEN HITESHBHAI CHAUDHARI,Bharatiya Janata Party,667072,4811,671883,1375903.0,48.83,30406,Result Declared,48.0,female
10,4,101,Gujarat,Western Region,3,Patan,3,2024-05-07,DABHI  BHARATSINHJI  SHANKARJI,Bharatiya Janata Party,NDA,CHANDANJI TALAJI THAKOR,Indian National Congress,585591,6356,591947,1193125.0,49.61,31876,Result Declared,69.0,male
10,4,102,Gujarat,Western Region,4,Mahesana,3,2024-05-07,HARIBHAI PATEL,Bharatiya Janata Party,NDA,RAMJI THAKOR,Indian National Congress,675614,10792,686406,1076827.0,63.74,328046,Result Declared,62.0,male
10,4,103,Gujarat,Western Region,5,Sabarkantha,3,2024-05-07,SHOBHANABEN MAHENDRASINH BARAIYA,Bharatiya Janata Party,NDA,CHAUDHARI TUSHAR AMARSINH,Indian National Congress,670929,6389,677318,1269358.0,53.36,155682,Result Declared,50.0,female
10,4,104,Gujarat,Western Region,6,Gandhinagar,3,2024-05-07,AMIT SHAH,Bharatiya Janata Party,NDA,SONAL RAMANBHAI PATEL,Indian National Congress,999984,10988,1010972,1321802.0,76.48,744716,Result Declared,59.0,male
