party_id,party_name,alliance_name,alliance_id
677,Swaraj Kranti Party,Others,3
678,Swarajya Sena (Maharashtra),Others,3
679,Swarajya Shakti Sena,Others,3
680,Swatantra Jantaraj Party,Others,3
681,Swatantra Kisan Party,Others,3
682,Swatantrata Abhivyakti Party,Others,3
683,Swayam Shashan Party,Others,3
684,Tamil Maanila Congress  (Moopanar),NDA,1
685,Tamil Manila Murpokku Dravida Kazhagam,Others,3
686,Tamilaga Makkal Nala Katchi,Others,3
687,Tamilaga Makkal Thannurimai Katchi,Others,3
688,Tamilar Makkal Katchi,Others,3
689,Tamilnadu Makkal Nalvazhvu Periyakkam,Others,3
690,Tamizhaga Murpokku Makkal Katchi,Others,3
691,Telangana Jaghir Party,Others,3
692,Telangana Praja Shakthi Party,Others,3
693,Telangana Prajaa Jeevana Rythu Party,Others,3
694,Telangana Rajya Samithi,Others,3
695,Telangana Rashtra Punahnirmana Samithi,Others,3
696,Telangana Republican Party,Others,3
697,Telangana Sakalajanula Party,Others,3
698,Telugu Congress Party,Others,3
699,Telugu Desam,NDA,1
700,Telugu Nava Garjana Party,Others,3
701,Telugu Rajadhikara Samiti Party,Others,3
702,Thakkam Katchi,Others,3
703,The Agrani Party,Others,3
704,The National Road Map Party of India,Others,3
705,Tipu Sultan Party,Others,3
706,Twenty 20 Party,Others,3
707,Ulzaipali Makkal Katchy,Others,3
708,Ummeed Party of India,Others,3
709,United Democratic Party,NDA,1
710,"United People’s Party, Liberal",NDA,1
711,United Republican Party of India,Others,3
712,Utkal Samaj,Others,3
713,Uttama Prajaakeeya Party,Others,3
714,Uttar Pradesh Republican Party,Others,3
715,Uttarakhand Kranti Dal,Others,3
716,Uttarakhand Parivartan Party,Others,3
717,Uttarakhand Samanta Party,Others,3
718,Vanchit Bahujan  Aaghadi,Others,3
719,Vanchitsamaj Insaaf Party,Others,3
720,Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi,Others,3
721,Vidarbha Rajya Aghadi,Others,3
722,Vidhyarthula Rajakiya Party,Others,3
723,Vidiyalai Thedum Indhiyargal Party,Others,3
724,Viduthalai Chiruthaigal Katchi,INDIA,2
725,Viduthalai Kalam Katchi,Others,3
726,Vikas India Party,Others,3
727,Vikas Insaf Party,Others,3
728,Vikassheel Insaan Party,Others,3
729,Viro Ke Vir Indian Party,Others,3
730,Vishal Janta Party,Others,3
731,Vishva Shakti Party,Others,3
732,Vishwa Kalyan Rashtriya Manav Samaj Party,Others,3
733,Voice of the People Party,Others,3
734,Voters Independent Party,Others,3
735,Voters Party  International,Others,3
736,Wazib Adhikar Party,Others,3
737,Welfare Party Of India,Others,3
738,Young Star Empowerment Party,Others,3
739,Youth India Peace Party,Others,3
740,Yuga Thulasi Party,Others,3
741,Yuva Bihar Sena,Others,3
742,Yuva Krantikari Party,Others,3
743,Yuva Taram Party,Others,3
744,Yuva Vikas Party,Others,3
745,Yuvajana Sramika Rythu Congress Party,Others,3
746,Zoram People’s Movement,Others,3
